Date,Open,High,Low,Close,Volume,SMA20,SMA50,Signal,Daily Return,Volatility,Normalized Close
2025-01-02 00:00:00,425.53,426.07,414.85,418.58,16896469.0,,,0.0,,,100.0
2025-01-03 00:00:00,421.08,424.03,419.54,423.35,16662943.0,,,0.0,1.1395671078407998,,101.1395671078408
2025-01-06 00:00:00,428.0,434.32,425.48,427.85,20573648.0,,,0.0,1.0629502775481248,,102.21463041712457
2025-01-07 00:00:00,429.0,430.65,420.8,422.37,18139065.0,,,0.0,-1.2808227182423804,,100.90544220937457
2025-01-08 00:00:00,423.46,426.97,421.54,424.56,15054575.0,,,0.0,0.518502734569215,,101.42863968655934
2025-01-10 00:00:00,424.63,424.71,415.02,418.95,20201132.0,,,0.0,-1.3213680045223275,,100.08839409431889
2025-01-13 00:00:00,415.24,418.5,412.29,417.19,17604780.0,,,0.0,-0.42009786370688085,,99.66792488891014
2025-01-14 00:00:00,417.81,419.74,410.72,415.67,16935856.0,,,0.0,-0.3643423859632233,,99.30479239332983
2025-01-15 00:00:00,419.13,428.15,418.27,426.31,19637838.0,,,0.0,2.5597228570741093,,101.84671986239191
2025-01-16 00:00:00,428.7,429.49,424.39,424.58,15300023.0,,,0.0,-0.4058079801083747,,101.43341774571168
2025-01-17 00:00:00,434.09,434.48,428.17,429.03,26197507.0,,,0.0,1.0480945875924519,,102.49653590711452
2025-01-21 00:00:00,430.2,430.9,425.6,428.5,26085703.0,,,0.0,-0.12353448476796203,,102.36991733957667
2025-01-22 00:00:00,437.56,447.27,436.0,446.2,27803811.0,,,0.0,4.130688448074671,,106.59849968942616
2025-01-23 00:00:00,442.0,446.75,441.5,446.71,18389270.0,,,0.0,0.11429852084265946,,106.72034019781165
2025-01-24 00:00:00,445.16,446.65,441.4,444.06,15549453.0,,,0.0,-0.5932260303104897,,106.08724736012232
2025-01-27 00:00:00,424.01,435.2,423.5,434.56,35647805.0,,,0.0,-2.1393505382155564,,103.81766926274547
2025-01-28 00:00:00,434.6,448.38,431.38,447.2,23491703.0,,,0.0,2.908689248895424,,106.83740264704478
2025-01-29 00:00:00,446.69,446.88,440.4,442.33,23581370.0,,,0.0,-1.08899821109123,,105.67394524344212
2025-01-30 00:00:00,418.77,422.86,413.16,414.99,54586260.0,,,0.0,-6.18090565867112,,99.14233838214918
2025-01-31 00:00:00,418.98,420.69,414.91,415.06,34223388.0,428.4025,,0.0,0.016867876334369925,,99.15906158918247
2025-02-03 00:00:00,411.6,415.41,408.66,410.92,25679149.0,428.0195,,0.0,-0.9974461523635125,2.1147716669050913,98.17000334464142
2025-02-04 00:00:00,412.69,413.92,409.74,412.37,20532096.0,427.4705,,0.0,0.35286673805119406,2.0983257006633127,98.5164126331884
2025-02-05 00:00:00,412.35,413.83,410.4,413.29,16336188.0,426.7425,,0.0,0.2231006135266833,2.0819531586540014,98.73620335419754
2025-02-06 00:00:00,414.0,418.2,414.0,415.82,16309755.0,426.4150000000001,,0.0,0.6121609523578986,2.0709413427672065,99.34062783697263
2025-02-07 00:00:00,416.48,418.65,408.1,409.75,22886844.0,425.67449999999997,,0.0,-1.4597662450098636,2.089145382560493,97.89048688422764
2025-02-10 00:00:00,413.71,415.46,410.92,412.22,20817919.0,425.338,,0.0,0.6028065893837864,2.07694398501329,98.48057718954561
2025-02-11 00:00:00,409.64,412.49,409.3,411.44,18140592.0,425.0505,,0.0,-0.18921934889137848,2.0754795061925955,98.2942328826031
2025-02-12 00:00:00,407.21,410.75,404.37,409.04,19121734.0,424.71899999999994,,0.0,-0.5833171300797191,2.077808709217934,97.72086578431842
2025-02-13 00:00:00,407.0,411.0,406.36,410.54,23891731.0,423.93050000000005,,0.0,0.3667123019753582,1.9882398511782355,98.07922022074635
2025-02-14 00:00:00,407.79,408.91,405.88,408.43,22758464.0,423.12300000000005,,0.0,-0.5139572270667969,1.9890639414439237,97.57513498017106
2025-02-18 00:00:00,408.0,410.6,406.5,409.64,21423051.0,422.1535,,0.0,0.2962563964449272,1.9717676368138461,97.86420755888958
2025-02-19 00:00:00,407.88,415.49,407.65,414.77,24114197.0,421.467,,0.0,1.2523191094619746,1.9988413202062623,99.08977973147307
2025-02-20 00:00:00,415.29,419.31,412.54,416.13,23508728.0,419.9635,,0.0,0.32789256696483804,1.7342167614683635,99.4146877538344
2025-02-21 00:00:00,417.34,418.05,407.89,408.21,27524799.0,418.0385,,0.0,-1.9032513877874746,1.765193760767559,97.52257632949495
2025-02-24 00:00:00,408.51,409.37,399.32,404.0,26443656.0,416.03550000000007,,0.0,-1.031331912496014,1.7699791711661568,96.5167948779206
2025-02-25 00:00:00,401.1,401.92,396.7,397.9,29387402.0,414.2025,,0.0,-1.5099009900990112,1.743882879527694,95.05948683644704
2025-02-26 00:00:00,398.01,403.6,394.25,399.73,19618954.0,411.829,,0.0,0.4599145513948244,1.575329101460221,95.49667924888911
2025-02-27 00:00:00,401.27,405.74,392.17,392.53,21127406.0,409.339,,0.0,-1.8012158206789697,1.596130086306865,93.77657795403506
2025-02-28 00:00:00,392.66,397.63,386.57,396.99,32845658.0,408.439,,0.0,1.1362188877283463,0.9555024961058328,94.8420851450141
2025-03-03 00:00:00,398.82,398.82,386.16,388.49,23007726.0,407.1105,,0.0,-2.1411118667976514,1.0453125885365837,92.81141000525587
2025-03-04 00:00:00,383.4,392.58,381.0,388.61,29342923.0,405.995,,0.0,0.030888825967201328,1.035743232639542,92.84007836017011
2025-03-05 00:00:00,389.34,401.67,388.81,401.02,23433132.0,405.4275,,0.0,3.1934330048120074,1.2897758811155702,95.80486406421711
2025-03-06 00:00:00,394.28,402.15,392.68,396.89,23304625.0,404.60749999999996,,0.0,-1.0298738217545234,1.3020142271297264,94.81819484925224
2025-03-07 00:00:00,392.32,394.8,385.54,393.31,22034087.0,403.482,,0.0,-0.9020131522588071,1.2966692827395363,93.96292226097759
2025-03-10 00:00:00,385.84,386.4,377.22,380.16,32840134.0,402.0025,,0.0,-3.343418677379162,1.4473006467513276,90.8213483682928
2025-03-11 00:00:00,379.0,386.0,376.91,380.45,30380177.0,400.414,,0.0,0.07628367003365,1.43350992288333,90.8906302260022
2025-03-12 00:00:00,382.95,385.22,378.95,383.27,24253567.0,399.00550000000004,,0.0,0.7412274937574015,1.455315994512991,91.56433656648669
2025-03-13 00:00:00,383.16,385.32,377.45,378.77,20473017.0,397.492,,0.0,-1.1741070263782682,1.4663848360106044,90.48927325720292
2025-03-14 00:00:00,379.78,390.23,379.51,388.56,19952846.0,396.393,,0.0,2.584681996990268,1.6028288846787269,92.82813321228917
2025-03-17 00:00:00,386.7,392.71,385.57,388.7,22474272.0,395.4065,411.8,0.0,0.03603047148446059,1.6030065865531606,92.86157962635578
2025-03-18 00:00:00,387.07,387.37,381.1,383.52,19486850.0,394.10049999999995,411.0988,0.0,-1.3326472858245397,1.6159195934162485,91.62406230589134
2025-03-19 00:00:00,385.53,389.68,384.0,387.82,19185532.0,392.75300000000004,410.3882,0.0,1.1211931581143197,1.6094725399080814,92.6513450236514
2025-03-20 00:00:00,385.74,391.79,383.28,386.84,18470542.0,391.2885,409.56800000000004,0.0,-0.2526945490175847,1.602333801894083,92.41722012518515
2025-03-21 00:00:00,383.22,391.74,382.8,391.26,39675928.0,390.441,408.94579999999996,0.0,1.1425912521972892,1.59185557086825,93.47317119785943
2025-03-24 00:00:00,395.4,395.4,389.81,393.08,21004548.0,389.895,408.31620000000004,0.0,0.46516382967847214,1.5858720567961917,93.90797458072531
2025-03-25 00:00:00,393.92,396.36,392.64,395.16,15774968.0,389.75800000000004,407.8404,0.0,0.5291543706115842,1.557439902948898,94.40489273257204
2025-03-26 00:00:00,395.0,395.31,388.57,389.97,16132906.0,389.27,407.29600000000005,0.0,-1.3133920437291224,1.5788300632218035,93.16498638253142
2025-03-27 00:00:00,390.13,392.24,387.4,390.58,13766761.0,389.1725,406.7942,0.0,0.15642228889400922,1.52845148033997,93.31071718667877
2025-03-28 00:00:00,388.08,389.13,376.93,378.8,21632016.0,388.263,405.84399999999994,0.0,-3.016027446361813,1.6418201732433382,90.49644034593149
2025-03-31 00:00:00,372.54,377.07,367.24,375.39,35184676.0,387.608,404.86019999999996,0.0,-0.9002111932418178,1.58802131343985,89.68178126045201
2025-04-01 00:00:00,374.65,382.85,373.23,382.19,19689503.0,387.287,403.9234,0.0,1.811449425930367,1.6480262192707973,91.3063213722586
2025-04-02 00:00:00,377.97,385.08,376.62,382.14,16092555.0,386.34299999999996,402.99620000000004,0.0,-0.013082498233862871,1.4589255194509458,91.29437622437766
2025-04-03 00:00:00,374.79,377.48,369.35,373.11,30197997.0,385.154,401.5344,0.0,-2.363008321557536,1.5262631474467094,89.13708251708157
2025-04-04 00:00:00,364.13,374.59,359.48,359.84,49209854.0,383.4805,399.797,0.0,-3.5565918897912274,1.688427540249315,85.96684026948253
2025-04-07 00:00:00,350.88,371.0,344.79,357.86,50424998.0,382.3655,398.07300000000004,0.0,-0.5502445531347155,1.5441161235122391,85.49381241339769
2025-04-08 00:00:00,368.26,373.65,350.25,354.56,35868918.0,381.071,396.47299999999996,0.0,-0.9221483261610763,1.5477729714381512,84.70543265325625
2025-04-09 00:00:00,353.54,393.23,353.1,390.49,50199696.0,381.43199999999996,395.33880000000005,0.0,10.133686823104693,2.806387752241902,93.28921592049309
2025-04-10 00:00:00,382.06,383.9,367.8,381.35,38024368.0,381.56100000000004,394.1192,0.0,-2.3406489282696064,2.846735844706157,91.10564288785896
2025-04-11 00:00:00,380.64,390.05,378.89,388.45,23839220.0,381.5555,393.5884,0.0,1.8618067392159432,2.8175804775819326,92.80185388695112
2025-04-14 00:00:00,393.22,394.65,384.21,387.81,19251172.0,381.511,393.0434,0.0,-0.16475736903075466,2.8179337067452077,92.64895599407521
2025-04-15 00:00:00,388.51,391.89,384.16,385.73,17199890.0,381.6215,392.5396,0.0,-0.5363451174544176,2.8033323395634406,92.1520378422285
2025-04-16 00:00:00,380.67,381.61,368.0,371.61,21967826.0,380.811,391.7244,0.0,-3.660591605527186,2.9103473564843014,88.77872808065365
2025-04-17 00:00:00,373.75,374.32,366.89,367.78,21120192.0,379.858,390.81419999999997,0.0,-1.0306504130674687,2.916639853353602,87.86372975297434
2025-04-21 00:00:00,362.82,364.48,355.67,359.12,20807279.0,378.25100000000003,389.68019999999996,0.0,-2.3546685518516464,2.9358397989632916,85.79483013999713
2025-04-22 00:00:00,363.38,367.77,359.86,366.82,19484993.0,376.938,388.8216,0.0,2.144130095789709,2.9851173445392267,87.63438291366047
2025-04-23 00:00:00,376.06,380.39,373.02,374.39,20545526.0,375.8995,388.065,0.0,2.063682460062144,3.0270925635550583,89.44287830283338
