Date,Open,High,Low,Close,Volume,SMA20,SMA50,Daily Return,Volatility,Normalized Close
2025-01-02,136.0,138.88,134.63,138.31,198247166,,,,,100.0
2025-01-03,140.01,144.9,139.73,144.47,229322478,,,4.4537632853734355,,104.45376328537344
2025-01-06,148.59,152.16,147.82,149.43,265377359,,,3.4332387346854176,,108.03991034632348
2025-01-07,153.03,153.13,140.01,140.14,351782174,,,-6.216957772870257,,101.32311474224566
2025-01-08,142.58,143.95,137.56,140.11,227349948,,,-0.02140716426428657,,101.3014243366351
2025-01-10,137.45,139.92,134.22,135.91,207602514,,,-2.997644707729652,,98.2647675511532
2025-01-13,129.99,133.49,129.51,133.23,204808914,,,-1.9718931645942184,,96.32709131660762
2025-01-14,136.05,136.38,130.05,131.76,195590485,,,-1.103355100202652,,95.26426144168894
2025-01-15,133.65,136.45,131.29,136.24,185217338,,,3.400121432908332,,98.50336201286964
2025-01-16,138.64,138.75,133.49,133.57,209235583,,,-1.9597768643570324,,96.57291591352758
2025-01-17,136.69,138.5,135.46,137.71,201188760,,,3.099498390357125,,99.5661918877883
2025-01-21,139.16,141.83,137.09,140.83,197748985,,,2.265630673153729,,101.82199407128914
2025-01-22,144.66,147.79,143.67,147.07,237651395,,,4.43087410352907,,106.3335984382908
2025-01-23,145.05,147.23,143.72,147.22,155915549,,,0.10199224858911116,,106.44205046634372
2025-01-24,148.37,148.97,141.88,142.62,234657635,,,-3.124575465290036,,103.1161882727207
2025-01-27,124.8,128.4,116.7,118.42,818830895,,,-16.968167157481417,,85.6192610801822
2025-01-28,121.81,129.0,116.25,128.99,579666350,,,8.925857118729951,,93.26151399031163
2025-01-29,126.5,126.89,120.05,123.7,467120640,,,-4.10109310799287,,89.43677246764514
2025-01-30,123.1,125.0,118.1,124.65,392925469,,,0.7679870654810017,,90.12363531198034
2025-01-31,123.78,127.85,119.19,120.07,390372899,135.7225,,-3.6742880064179806,,86.81223338876435
2025-02-03,114.75,118.57,113.01,116.66,371235677,134.64000000000001,,-2.8400099941700674,5.333789905170673,84.34675728436122
2025-02-04,116.96,121.2,116.7,118.65,256550040,133.349,,1.705811760672038,5.228255906594247,85.78555418986336
2025-02-05,121.76,125.0,120.76,124.83,263110629,132.119,,5.208596713021496,5.318955399892625,90.25377774564383
2025-02-06,127.42,128.77,125.21,128.68,251483574,131.546,,3.084194504526172,5.221867000040792,93.03737979900224
