Date,Open,High,Low,Close,Volume
1/2/2025 16:00:00,425.53,426.07,414.85,418.58,16896469
1/3/2025 16:00:00,421.08,424.03,419.54,423.35,16662943
1/6/2025 16:00:00,428,434.32,425.48,427.85,20573648
1/7/2025 16:00:00,429,430.65,420.8,422.37,18139065
1/8/2025 16:00:00,423.46,426.97,421.54,424.56,15054575
1/10/2025 16:00:00,424.63,424.71,415.02,418.95,20201132
1/13/2025 16:00:00,415.24,418.5,412.29,417.19,17604780
1/14/2025 16:00:00,417.81,419.74,410.72,415.67,16935856
1/15/2025 16:00:00,419.13,428.15,418.27,426.31,19637838
1/16/2025 16:00:00,428.7,429.49,424.39,424.58,15300023
1/17/2025 16:00:00,434.09,434.48,428.17,429.03,26197507
1/21/2025 16:00:00,430.2,430.9,425.6,428.5,26085703
1/22/2025 16:00:00,437.56,447.27,436,446.2,27803811
1/23/2025 16:00:00,442,446.75,441.5,446.71,18389270
1/24/2025 16:00:00,445.16,446.65,441.4,444.06,15549453
1/27/2025 16:00:00,424.01,435.2,423.5,434.56,35647805
1/28/2025 16:00:00,434.6,448.38,431.38,447.2,23491703
1/29/2025 16:00:00,446.69,446.88,440.4,442.33,23581370
1/30/2025 16:00:00,418.77,422.86,413.16,414.99,54586260
1/31/2025 16:00:00,418.98,420.69,414.91,415.06,34223388
2/3/2025 16:00:00,411.6,415.41,408.66,410.92,25679149
2/4/2025 16:00:00,412.69,413.92,409.74,412.37,20532096
2/5/2025 16:00:00,412.35,413.83,410.4,413.29,16336188
2/6/2025 16:00:00,414,418.2,414,415.82,16309755
2/7/2025 16:00:00,416.48,418.65,408.1,409.75,22886844
2/10/2025 16:00:00,413.71,415.46,410.92,412.22,20817919
2/11/2025 16:00:00,409.64,412.49,409.3,411.44,18140592
2/12/2025 16:00:00,407.21,410.75,404.37,409.04,19121734
2/13/2025 16:00:00,407,411,406.36,410.54,23891731
2/14/2025 16:00:00,407.79,408.91,405.88,408.43,22758464
2/18/2025 16:00:00,408,410.6,406.5,409.64,21423051
2/19/2025 16:00:00,407.88,415.49,407.65,414.77,24114197
2/20/2025 16:00:00,415.29,419.31,412.54,416.13,23508728
2/21/2025 16:00:00,417.34,418.05,407.89,408.21,27524799
2/24/2025 16:00:00,408.51,409.37,399.32,404,26443656
2/25/2025 16:00:00,401.1,401.92,396.7,397.9,29387402
2/26/2025 16:00:00,398.01,403.6,394.25,399.73,19618954
2/27/2025 16:00:00,401.27,405.74,392.17,392.53,21127406
2/28/2025 16:00:00,392.66,397.63,386.57,396.99,32845658
3/3/2025 16:00:00,398.82,398.82,386.16,388.49,23007726
3/4/2025 16:00:00,383.4,392.58,381,388.61,29342923
3/5/2025 16:00:00,389.34,401.67,388.81,401.02,23433132
3/6/2025 16:00:00,394.28,402.15,392.68,396.89,23304625
3/7/2025 16:00:00,392.32,394.8,385.54,393.31,22034087
3/10/2025 16:00:00,385.84,386.4,377.22,380.16,32840134
3/11/2025 16:00:00,379,386,376.91,380.45,30380177
3/12/2025 16:00:00,382.95,385.22,378.95,383.27,24253567
3/13/2025 16:00:00,383.16,385.32,377.45,378.77,20473017
3/14/2025 16:00:00,379.78,390.23,379.51,388.56,19952846
3/17/2025 16:00:00,386.7,392.71,385.57,388.7,22474272
3/18/2025 16:00:00,387.07,387.37,381.1,383.52,19486850
3/19/2025 16:00:00,385.53,389.68,384,387.82,19185532
3/20/2025 16:00:00,385.74,391.79,383.28,386.84,18470542
3/21/2025 16:00:00,383.22,391.74,382.8,391.26,39675928
3/24/2025 16:00:00,395.4,395.4,389.81,393.08,21004548
3/25/2025 16:00:00,393.92,396.36,392.64,395.16,15774968
3/26/2025 16:00:00,395,395.31,388.57,389.97,16132906
3/27/2025 16:00:00,390.13,392.24,387.4,390.58,13766761
3/28/2025 16:00:00,388.08,389.13,376.93,378.8,21632016
3/31/2025 16:00:00,372.54,377.07,367.24,375.39,35184676
4/1/2025 16:00:00,374.65,382.85,373.23,382.19,19689503
4/2/2025 16:00:00,377.97,385.08,376.62,382.14,16092555
4/3/2025 16:00:00,374.79,377.48,369.35,373.11,30197997
4/4/2025 16:00:00,364.13,374.59,359.48,359.84,49209854
4/7/2025 16:00:00,350.88,371,344.79,357.86,50424998
4/8/2025 16:00:00,368.26,373.65,350.25,354.56,35868918
4/9/2025 16:00:00,353.54,393.23,353.1,390.49,50199696
4/10/2025 16:00:00,382.06,383.9,367.8,381.35,38024368
4/11/2025 16:00:00,380.64,390.05,378.89,388.45,23839220
4/14/2025 16:00:00,393.22,394.65,384.21,387.81,19251172
4/15/2025 16:00:00,388.51,391.89,384.16,385.73,17199890
4/16/2025 16:00:00,380.67,381.61,368,371.61,21967826
4/17/2025 16:00:00,373.75,374.32,366.89,367.78,21120192
4/21/2025 16:00:00,362.82,364.48,355.67,359.12,20807279
4/22/2025 16:00:00,363.38,367.77,359.86,366.82,19484993
4/23/2025 16:00:00,376.06,380.39,373.02,374.39,20545526
4/24/2025 16:00:00,375.7,388.45,375.19,387.3,22232289
4/25/2025 16:00:00,387,392.16,384.6,391.85,18973165
4/28/2025 16:00:00,391.96,392.74,386.64,391.16,16579430
4/29/2025 16:00:00,391.3,395.1,390.38,394.04,14973976
4/30/2025 16:00:00,390.3,396.66,384.44,395.26,36461075
5/1/2025 16:00:00,431.11,436.99,424.9,425.4,58938100
5/2/2025 16:00:00,431.74,439.44,429.99,435.28,30757434
5/5/2025 16:00:00,432.87,439.5,432.11,436.17,20136053
5/6/2025 16:00:00,432.2,437.73,431.17,433.31,15104204
5/7/2025 16:00:00,433.84,438.12,431.11,433.35,23307241
5/8/2025 16:00:00,437.93,443.67,435.66,438.17,23491330
5/9/2025 16:00:00,440,440.74,435.88,438.73,15324233
5/12/2025 16:00:00,445.94,449.37,439.78,449.26,22821935
5/13/2025 16:00:00,447.78,450.67,445.36,449.14,23618819
5/14/2025 16:00:00,448.14,453.9,448.14,452.94,19902796
5/15/2025 16:00:00,450.77,456.19,450.43,453.13,21992323
5/16/2025 16:00:00,452.05,454.36,448.73,454.27,23849781
5/19/2025 16:00:00,450.88,459.59,450.8,458.87,21336509
5/20/2025 16:00:00,455.59,458.34,454.32,458.17,15441808
5/21/2025 16:00:00,454.57,457.78,451.81,452.57,19216906
5/22/2025 16:00:00,454.95,460.25,453.9,454.86,18025612
5/23/2025 16:00:00,449.98,453.69,448.91,450.18,16883509
5/27/2025 16:00:00,456.48,460.95,456.12,460.69,20974293
5/28/2025 16:00:00,461.22,462.52,456.93,457.36,17086261
5/29/2025 16:00:00,461.55,461.72,455.31,458.68,13982211
5/30/2025 16:00:00,459.72,461.68,455.54,460.36,34770475
6/2/2025 16:00:00,457.14,462.11,456.89,461.97,16626495
6/3/2025 16:00:00,461.47,464.14,460.86,462.97,15743760
6/4/2025 16:00:00,464,465.69,463.02,463.87,14162688
6/5/2025 16:00:00,464.96,469.65,464.03,467.68,20154460
6/6/2025 16:00:00,470.09,473.34,468.78,470.38,15285624
6/9/2025 16:00:00,469.7,473.43,468.62,472.75,16469932
6/10/2025 16:00:00,471.19,472.8,466.96,470.92,15375944
6/11/2025 16:00:00,470.02,475.47,469.66,472.62,16399176
6/12/2025 16:00:00,475.02,480.42,473.52,478.87,18950582
6/13/2025 16:00:00,476.41,479.18,472.76,474.96,16814456
6/16/2025 16:00:00,475.21,480.69,475,479.14,15626104
6/17/2025 16:00:00,475.4,478.74,474.08,478.04,15414128
6/18/2025 16:00:00,478,481,474.46,480.24,17526452
6/20/2025 16:00:00,482.23,483.46,476.87,477.4,37576206
6/23/2025 16:00:00,478.21,487.75,472.51,486,24863952
6/24/2025 16:00:00,488.95,491.85,486.8,490.11,22305642
6/25/2025 16:00:00,492.04,494.56,489.39,492.27,17495099
6/26/2025 16:00:00,492.98,498.04,492.81,497.45,21578853
6/27/2025 16:00:00,497.55,499.3,493.03,495.94,34539236
6/30/2025 16:00:00,497.04,500.76,495.33,497.41,28368991
7/1/2025 16:00:00,496.47,498.05,490.98,492.05,19945375
7/2/2025 16:00:00,489.99,493.5,488.7,491.09,16319641
7/3/2025 13:05:00,493.81,500.13,493.44,498.84,13984829
7/7/2025 16:00:00,497.38,498.75,495.23,497.72,13981605
7/8/2025 16:00:00,497.24,498.2,494.11,496.62,11846586
7/9/2025 16:00:00,500.3,506.78,499.74,503.51,18659538
7/10/2025 16:00:00,503.05,504.44,497.75,501.48,16498740
7/11/2025 16:00:00,498.47,505.03,497.8,503.32,16459512
7/14/2025 16:00:00,501.52,503.97,501.03,503.02,12058848
7/15/2025 16:00:00,503.02,508.3,502.79,505.82,14927202
7/16/2025 16:00:00,505.18,506.72,501.89,505.62,15154374
7/17/2025 16:00:00,505.68,513.37,505.62,511.7,17503129
7/18/2025 16:00:00,514.48,514.64,507.43,510.05,21209666
7/21/2025 16:00:00,506.71,512.09,505.55,510.06,14066805
7/22/2025 16:00:00,510.97,511.2,505.27,505.27,13868644
7/23/2025 16:00:00,506.75,506.79,500.7,505.87,16396585
7/24/2025 16:00:00,508.77,513.67,507.3,510.88,16107000
7/25/2025 16:00:00,512.47,518.29,510.36,513.71,19125699
7/28/2025 16:00:00,514.08,515,510.12,512.5,14308027
7/29/2025 16:00:00,515.53,517.62,511.56,512.57,16469235
7/30/2025 16:00:00,515.17,515.95,509.44,513.24,26380434
7/31/2025 16:00:00,555.23,555.45,531.9,533.5,51617326
8/1/2025 16:00:00,535,535.8,520.86,524.11,28977628
8/4/2025 16:00:00,528.27,538.25,528.13,535.64,25349004
8/5/2025 16:00:00,537.18,537.3,527.24,527.75,19171569
8/6/2025 16:00:00,530.9,531.7,524.03,524.94,21355702
8/7/2025 16:00:00,526.8,528.09,517.55,520.84,16079144
8/8/2025 16:00:00,522.6,524.66,519.41,522.04,15531009
8/11/2025 16:00:00,522.3,527.59,519.72,521.77,20194372
8/12/2025 16:00:00,523.75,530.98,522.7,529.24,18688921
8/13/2025 16:00:00,532.11,532.7,519.37,520.58,19619160
8/14/2025 16:00:00,522.56,525.95,520.14,522.48,20269074
8/15/2025 16:00:00,522.77,526.1,519.08,520.17,25213272
8/18/2025 16:00:00,521.59,522.82,514.02,517.1,23760583
8/19/2025 16:00:00,515,515.16,508.55,509.77,21481016
8/20/2025 16:00:00,509.87,511,504.44,505.72,27723025
8/21/2025 16:00:00,503.69,507.63,502.72,504.24,18443254
8/22/2025 16:00:00,504.25,510.73,502.41,507.23,24324161
8/25/2025 16:00:00,506.63,508.19,504.12,504.26,21638579
8/26/2025 16:00:00,504.36,504.98,498.51,502.04,30835709
8/27/2025 16:00:00,502,507.29,499.9,506.74,17277893
8/28/2025 16:00:00,507.09,511.09,505.5,509.64,18015593
8/29/2025 16:00:00,508.66,509.6,504.49,506.69,20961569
9/2/2025 16:00:00,500.47,506,496.81,505.12,18127995
9/3/2025 16:00:00,503.79,507.79,502.32,505.35,16345078
9/4/2025 16:00:00,504.3,508.15,503.15,507.97,15509486
9/5/2025 16:00:00,509.07,511.97,492.37,495,31994846
9/8/2025 16:00:00,498.11,501.2,495.03,498.2,16771015
9/9/2025 16:00:00,501.43,502.25,497.7,498.41,14410542
9/10/2025 16:00:00,502.98,503.23,496.72,500.37,21611816
9/11/2025 16:00:00,502.25,503.17,497.88,501.01,18881608
9/12/2025 16:00:00,506.65,512.55,503.85,509.9,23624884
9/15/2025 16:00:00,508.79,515.47,507,515.36,17143786
9/16/2025 16:00:00,516.88,517.23,508.6,509.04,19711922
9/17/2025 16:00:00,510.62,511.29,505.93,510.02,15816585
9/18/2025 16:00:00,511.49,513.07,507.66,508.45,18913696
9/19/2025 16:00:00,510.56,519.3,510.31,517.93,52474093
9/22/2025 16:00:00,515.59,517.74,512.54,514.45,20009314
9/23/2025 16:00:00,513.8,514.59,507.31,509.23,19799580
9/24/2025 16:00:00,513.8,514.59,507.31,509.23,98063
9/25/2025 16:00:00,508.3,510.01,505.04,507.03,15786468
9/26/2025 16:00:00,510.06,513.94,506.62,511.46,16213129
9/29/2025 16:00:00,511.5,516.85,508.88,514.6,17617775
9/30/2025 16:00:00,513.24,518.16,509.66,517.95,19728229
10/1/2025 16:00:00,514.8,520.51,511.69,519.71,22632336
10/2/2025 16:00:00,517.64,521.6,510.68,515.74,21222886
10/3/2025 16:00:00,517.1,520.49,515,517.35,15112321
10/6/2025 16:00:00,518.61,531.03,518.2,528.57,21388581
10/7/2025 16:00:00,528.29,529.8,521.44,523.98,14615208
10/8/2025 16:00:00,523.28,526.95,523.09,524.85,13363447
10/9/2025 16:00:00,522.34,524.33,517.4,522.4,18343602
10/10/2025 16:00:00,519.64,523.58,509.63,510.96,24133840
10/13/2025 16:00:00,516.41,516.41,511.68,514.05,14284238
10/14/2025 16:00:00,510.23,515.28,506,513.57,14684300
10/15/2025 16:00:00,514.96,517.19,510,513.43,14694654
10/16/2025 16:00:00,512.58,516.85,508.13,511.61,15559565
10/17/2025 16:00:00,509.04,515.48,507.31,513.58,19867765
10/20/2025 16:00:00,514.61,518.7,513.43,516.79,14665620
10/21/2025 16:00:00,517.5,518.69,513.04,517.66,15586204
10/22/2025 16:00:00,521.15,525.23,517.71,520.54,18962694
10/23/2025 16:00:00,522.46,523.95,518.61,520.56,14023532
10/24/2025 16:00:00,522.79,525.35,520.71,523.61,15532360
10/27/2025 16:00:00,531.78,534.58,529.01,531.52,18734716
10/28/2025 16:00:00,550,553.72,540.77,542.07,29986683
10/29/2025 16:00:00,544.94,546.27,536.73,541.55,36023004
10/30/2025 16:00:00,530.48,534.97,522.12,525.76,41023088
10/31/2025 16:00:00,528.88,529.32,515.1,517.81,34006424
11/3/2025 16:00:00,519.8,524.96,514.59,517.03,22374742
11/4/2025 16:00:00,511.76,515.55,507.84,514.33,20958663
11/5/2025 16:00:00,513.3,514.83,506.58,507.16,23024342
11/6/2025 16:00:00,505.66,505.7,495.81,497.1,27406496
11/7/2025 16:00:00,496.95,499.38,493.25,496.82,24019764
11/10/2025 16:00:00,500.04,506.85,498.8,506,26101480
11/11/2025 16:00:00,504.8,509.6,502.35,508.68,17980020
11/12/2025 16:00:00,509.36,511.67,499.12,511.14,26574851
11/13/2025 16:00:00,510.31,513.5,501.29,503.29,25273114
11/14/2025 16:00:00,498.23,511.6,497.44,510.18,28505746
11/17/2025 16:00:00,508.45,512.12,504.91,507.49,19092752
11/18/2025 16:00:00,495.37,502.98,486.78,493.79,33815114
11/19/2025 16:00:00,490.1,495.19,482.83,487.12,23245314
11/20/2025 16:00:00,492.71,493.57,475.5,478.43,26802542
11/21/2025 16:00:00,478.5,478.92,468.27,472.12,31769248
11/24/2025 16:00:00,475,476.9,468.02,474,34421046
11/25/2025 16:00:00,474.07,479.15,464.89,476.99,28019793
11/26/2025 16:00:00,486.31,488.31,481.2,485.5,25709079
11/28/2025 13:05:00,487.6,492.63,486.65,492.01,14386730
12/1/2025 16:00:00,488.44,489.86,484.65,486.74,23963993
12/2/2025 16:00:00,486.72,493.5,486.32,490,19562722
12/3/2025 16:00:00,476.32,484.24,475.2,477.73,34615102
12/4/2025 16:00:00,479.76,481.32,476.49,480.84,22318155
12/5/2025 16:00:00,482.52,483.4,478.88,483.16,22608710
12/8/2025 16:00:00,484.89,492.3,484.38,491.02,21965900
12/9/2025 16:00:00,489.1,492.12,488.5,492.02,14696078
12/10/2025 16:00:00,484.03,484.25,475.08,478.56,35756229
12/11/2025 16:00:00,476.63,486.03,475.86,483.47,24669180
12/12/2025 16:00:00,479.82,482.45,476.34,478.53,21248102
12/15/2025 16:00:00,480.1,480.72,472.52,474.82,23727694
12/16/2025 16:00:00,471.91,477.89,470.88,476.39,20705560
12/17/2025 16:00:00,476.91,480,475,476.12,24527176
12/18/2025 16:00:00,478.19,489.6,477.89,483.98,28573545
12/19/2025 16:00:00,487.36,487.85,482.49,485.92,70836105
12/22/2025 16:00:00,486.12,488.73,482.69,484.92,16963019
12/23/2025 16:00:00,484.98,487.83,484.74,486.85,14683582
12/24/2025 13:05:00,485.68,489.16,484.83,488.02,5855880
12/26/2025 16:00:00,486.71,488.12,485.96,487.71,8842175
12/29/2025 16:00:00,484.86,488.35,484.18,487.1,10893408
12/30/2025 16:00:00,485.93,489.68,485.5,487.48,13944512
12/31/2025 16:00:00,487.84,488.14,483.3,483.62,15601554
